algorithm,subsampling,feature_selection,imputation_num,imputation_cat,encoding,fold,auc,sen,spec,accu,gmean
LR,up,LASSO,Median,Mode,One-Hot,1,0.66222787,0.608730159,0.630785097,0.627703227,0.619659513
LR,up,LASSO,Median,Drop,One-Hot,1,0.66172571,0.581510934,0.64457925,0.63604573,0.612233519
LR,up,RF,Drop,Unknown,Label,1,0.652843433,0.568075117,0.629900905,0.622419996,0.598189795
LR,up,RF,Drop,Missing,Label,1,0.638832757,0.594679186,0.60706592,0.605567127,0.600840634
LR,up,RF,Drop,Mode,Label,1,0.651462897,0.594679186,0.636363636,0.631319826,0.61516844
LR,up,RF,Drop,Drop,Label,1,0.631989811,0.573793103,0.619142176,0.613435168,0.596036501
LR,up,RF,Median,Unknown,Label,1,0.647562979,0.598412698,0.617893516,0.615171343,0.608075099
LR,up,RF,Median,Missing,Label,1,0.647936733,0.586507937,0.628722444,0.622823556,0.607248469
LR,up,RF,Median,Mode,Label,1,0.64938059,0.608730159,0.61866701,0.617278474,0.613678472
LR,up,RF,Median,Drop,Label,1,0.639666589,0.596421471,0.607715041,0.606186954,0.602041775
LR,up,RF,Drop,Unknown,One-Hot,1,0.655478421,0.575899844,0.63507109,0.62791138,0.604762219
LR,up,RF,Drop,Missing,One-Hot,1,0.656136493,0.613458529,0.634640241,0.632077258,0.623959509
LR,up,RF,Drop,Mode,One-Hot,1,0.658369625,0.605633803,0.634424817,0.63094111,0.619862174
LR,up,RF,Drop,Drop,One-Hot,1,0.634363069,0.591724138,0.606433678,0.604582538,0.59903376
LR,up,RF,Median,Unknown,One-Hot,1,0.640970777,0.586507937,0.612865799,0.609182655,0.599542038
LR,up,RF,Median,Missing,One-Hot,1,0.637816227,0.58015873,0.609385072,0.605301098,0.594592356
LR,up,RF,Median,Mode,One-Hot,1,0.635753984,0.603174603,0.593012763,0.594432738,0.598072101
LR,up,RF,Median,Drop,One-Hot,1,0.650820694,0.590457256,0.636801991,0.630531271,0.613191941
LR,rose,FFS,Drop,Unknown,Label,1,0.375394523,0.488262911,0.341232227,0.359022912,0.408180157
LR,rose,FFS,Drop,Missing,Label,1,0.384349469,0.489827856,0.33498492,0.353720886,0.405074
LR,rose,FFS,Drop,Mode,Label,1,0.384349469,0.489827856,0.33498492,0.353720886,0.405074
LR,rose,FFS,Drop,Drop,Label,1,0.377465695,0.434482759,0.37827641,0.385349766,0.405406682
